API_URL,API_Type,API_Slug,Frontend_URL,Status,Title,Content_Length,Headings,First_Paragraph
https://webadmin.pmc.gov.in/api/basic-page/hoarding-rules?lang=en,basic-page,hoarding-rules,https://www.pmc.gov.in/en/b/hoarding-rules,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/drainage-vehicles?lang=en,basic-page,drainage-vehicles,https://www.pmc.gov.in/en/b/drainage-vehicles,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/roles-and-responsibility?lang=en,basic-page,roles-and-responsibility,https://www.pmc.gov.in/en/b/roles-and-responsibility,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/terms-and-conditions?lang=en,basic-page,terms-and-conditions,https://www.pmc.gov.in/en/b/terms-and-conditions,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/merged-23-villages-3062021?lang=en,basic-page,merged-23-villages-3062021,https://www.pmc.gov.in/en/b/merged-23-villages-3062021,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/theater-renovation?lang=en,basic-page,theater-renovation,https://www.pmc.gov.in/en/b/theater-renovation,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/fire-safety-audit-laws-and-regulations?lang=en,basic-page,fire-safety-audit-laws-and-regulations,https://www.pmc.gov.in/en/b/fire-safety-audit-laws-and-regulations,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/pre-conception-and-pre-natal-diagnostic-techniques?lang=en,basic-page,pre-conception-and-pre-natal-diagnostic-techniques,https://www.pmc.gov.in/en/b/pre-conception-and-pre-natal-diagnostic-techniques,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/tuberculosis-department-0?lang=en,basic-page,tuberculosis-department-0,https://www.pmc.gov.in/en/b/tuberculosis-department-0,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/health-department-sub?lang=en,basic-page,health-department-sub,https://www.pmc.gov.in/en/b/health-department-sub,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/veterinary-department-0?lang=en,basic-page,veterinary-department-0,https://www.pmc.gov.in/en/b/veterinary-department-0,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/vector-borne-disease-control-0?lang=en,basic-page,vector-borne-disease-control-0,https://www.pmc.gov.in/en/b/vector-borne-disease-control-0,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/pre-conception-and-pre-natal-diagnostic-techniques?lang=en,basic-page,pre-conception-and-pre-natal-diagnostic-techniques,https://www.pmc.gov.in/en/b/pre-conception-and-pre-natal-diagnostic-techniques,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/secondary-and-technical-education-school-list?lang=en,basic-page,secondary-and-technical-education-school-list,https://www.pmc.gov.in/en/b/secondary-and-technical-education-school-list,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/precaution-and-guidelines?lang=en,basic-page,precaution-and-guidelines,https://www.pmc.gov.in/en/b/precaution-and-guidelines,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/veterinary-department-0?lang=en,basic-page,veterinary-department-0,https://www.pmc.gov.in/en/b/veterinary-department-0,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/vector-borne-disease-control-0?lang=en,basic-page,vector-borne-disease-control-0,https://www.pmc.gov.in/en/b/vector-borne-disease-control-0,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/pmc-open-data?lang=en,basic-page,pmc-open-data,https://www.pmc.gov.in/en/b/pmc-open-data,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/tuberculosis-department-0?lang=en,basic-page,tuberculosis-department-0,https://www.pmc.gov.in/en/b/tuberculosis-department-0,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/information-about-rang-yatra-app?lang=en,basic-page,information-about-rang-yatra-app,https://www.pmc.gov.in/en/b/information-about-rang-yatra-app,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/tp-scheme?lang=en,basic-page,tp-scheme,https://www.pmc.gov.in/en/b/tp-scheme,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/100-resilient-cities-100rc?lang=en,basic-page,100-resilient-cities-100rc,https://www.pmc.gov.in/en/b/100-resilient-cities-100rc,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/pune-attractions?lang=en,basic-page,pune-attractions,https://www.pmc.gov.in/en/b/pune-attractions,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/census-awards?lang=en,basic-page,census-awards,https://www.pmc.gov.in/en/b/census-awards,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/drainage-connection?lang=en,basic-page,drainage-connection,https://www.pmc.gov.in/en/b/drainage-connection,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/public-parking-policy-2016?lang=en,basic-page,public-parking-policy-2016,https://www.pmc.gov.in/en/b/public-parking-policy-2016,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/pmc-operational-parkings?lang=en,basic-page,pmc-operational-parkings,https://www.pmc.gov.in/en/b/pmc-operational-parkings,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/all-garden-list?lang=en,basic-page,all-garden-list,https://www.pmc.gov.in/en/b/all-garden-list,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/public-transportation?lang=en,basic-page,public-transportation,https://www.pmc.gov.in/en/b/public-transportation,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/eco-friendly-crematoriums?lang=en,basic-page,eco-friendly-crematoriums,https://www.pmc.gov.in/en/b/eco-friendly-crematoriums,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/tree-protection-acts-rules-legal-notifications?lang=en,basic-page,tree-protection-acts-rules-legal-notifications,https://www.pmc.gov.in/en/b/tree-protection-acts-rules-legal-notifications,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/slum-eradication-and-rehabilitation-department?lang=en,basic-page,slum-eradication-and-rehabilitation-department,https://www.pmc.gov.in/en/b/slum-eradication-and-rehabilitation-department,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/list-agencies-providing-options-source-processing-waste?lang=en,basic-page,list-agencies-providing-options-source-processing-waste,https://www.pmc.gov.in/en/b/list-agencies-providing-options-source-processing-waste,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/key-initiatives-drainage-mechanization?lang=en,basic-page,key-initiatives-drainage-mechanization,https://www.pmc.gov.in/en/b/key-initiatives-drainage-mechanization,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/pmc-care-0?lang=en,basic-page,pmc-care-0,https://www.pmc.gov.in/en/b/pmc-care-0,Found,,191,,
https://webadmin.pmc.gov.in/api/basic-page/financial-statement?lang=en,basic-page,financial-statement,https://www.pmc.gov.in/en/b/financial-statement,Found,,191,,
